name,latitude,longitude,population
Aalen,48.83777,10.0933,67085
Neuwied,50.4336,7.47057,66805
Unna,51.53795,7.68969,66734
Plauen,50.4973,12.13782,66412
Pankow,52.56926,13.40186,65375
Herten,51.59638,7.14387,65306
Herford,52.11457,8.67343,64879
Grevenbroich,51.09102,6.5827,64779
Weimar,50.9803,11.32903,64727
Kerpen,50.86991,6.69691,64226
Fulda,50.55162,9.67518,63760
Dormagen,51.09683,6.83167,63582
Bergheim,50.95572,6.63986,63558
Garbsen,52.41371,9.5899,63355
Tempelhof,52.46667,13.4,61769
Wesel,51.6669,6.62037,61685
Kempten (Allgäu),47.72674,10.31389,61399
Sindelfingen,48.7,9.01667,61311
Schwäbisch Gmünd,48.79947,9.79809,61216
Landshut,48.52961,12.16179,60488
Rosenheim,47.85637,12.12247,60167
Brandenburg an der Havel,52.41667,12.55,59826
Rüsselsheim,49.98955,8.42251,59730
Berlin Köpenick,52.44254,13.58228,59561
Offenburg,48.47377,7.94495,59238
Langenfeld,51.10821,6.94831,59112
Stralsund,54.30911,13.0818,58976
Hameln,52.10397,9.35623,58666
Friedrichshafen,47.65689,9.47554,58403
Göppingen,48.70354,9.65209,58040
Görlitz,51.15518,14.98853,57751
Frankfurt (Oder),52.34714,14.55062,57015
Neu-Hohenschönhausen,52.56681,13.51255,56921
Hattingen,51.39894,7.18557,56866
Hilden,51.16818,6.93093,56565
Winterhude,53.59628,10.01785,56382
Stolberg,50.77368,6.22595,56377
Sankt Augustin,50.77538,7.197,56094
Eschweiler,50.81854,6.27184,55778
Aplerbeck,51.48333,7.55,55588
Baden-Baden,48.7606,8.23975,55449
Friedrichsfelde,52.50575,13.50812,55423
Ahlen,51.76338,7.8887,55280
Bad Salzuflen,52.0862,8.74434,54899
Euskirchen,50.66057,6.78722,54889
Meerbusch,51.25268,6.68807,54826
Wolfenbüttel,52.16442,10.54095,54740
Hürth,50.87079,6.86761,54678
Zehlendorf,52.43333,13.25,54328
Schweinfurt,50.04937,10.22175,54012
Neustadt an der Weinstraße,49.35009,8.13886,53984
Pulheim,50.99965,6.80632,53762
Gummersbach,51.02608,7.56473,53131
Wilhelmsburg,53.49973,10.01281,53064
Waiblingen,48.83241,9.31641,52945
Nordhorn,52.43081,7.06833,52803
Mariendorf,52.4378,13.38109,52734
Greifswald,54.09311,13.38786,52731
Cuxhaven,53.86828,8.69902,52677
Wetzlar,50.56109,8.50495,52656
Menden,51.44337,7.77825,52452
Bergkamen,51.61633,7.64451,52329
