,lat,lng
2563,47.9582,16.0948
2564,47.9714533,16.06028
2565,47.99806,16.08392
2571,48.0178,15.9907
2572,48.0359875,15.9153
2601,47.8752667,16.2812
2602,47.9113667,16.2641333
2603,47.8869333,16.2660667
2604,47.85405,16.27755
2620,47.711215,16.075045
2624,47.7476667,16.1409
2625,47.72425,16.16045
2630,47.70306,15.99059
2631,47.742825,15.966725
2632,47.6805667,16.0098778
2640,47.6621387,15.9468742
2641,47.654075,15.90885
2642,47.6383,15.8813
2650,47.6841857,15.855
2651,47.6898818,15.8094091
2654,47.6819,15.79416
2661,47.8362,15.7291
2662,47.8278143,15.7281143
2663,47.86545,15.73255
2671,47.677475,15.87735
2673,47.67425,15.8496
2680,47.6151,15.7755
2700,47.81026,16.22284
2721,47.8369667,16.1422333
2722,47.81,16.11005
2723,47.82855,16.092075
2724,47.8310833,16.0598667
2731,47.7861333,16.0854667
2732,47.78346,16.04636
2733,47.7897182,16.0112182
2734,47.7788667,15.9632
2751,47.86462,16.20792
2752,47.8321333,16.1961
2753,47.8661,16.1095
2754,47.8662,16.053125
2755,47.8785,16.0246
2761,47.85882,15.96842
2763,47.892475,15.9629
2770,47.8801,15.8784
2801,47.76525,16.2766
2802,47.6725857,16.3028857
2803,47.6312667,16.3253333
2811,47.5996,16.26095
2812,47.5741687,16.2622688
2813,47.5870318,16.2193455
2821,47.7309429,16.2452286
2822,47.7166556,16.2141889
2823,47.7123833,16.2070667
2824,47.7096,16.1932
2831,47.6550667,16.1173167
2832,47.65,16.1833
2833,47.6673,16.1769857
2840,47.6110429,16.1367571
2842,47.59002,16.1358
2851,47.52788,16.15818
2852,47.4550056,16.1925556
2853,47.4774333,16.2061
2860,47.5166714,16.2777714
2870,47.5462263,16.0824579
2871,47.5118333,16.1263
2872,47.521825,16.038775
2873,47.5791333,16.0795
2880,47.61054,15.9689
2881,47.6048,15.91315
3001,48.267225,16.10205
3002,48.2654,16.0852
3003,48.2654,16.0852
3004,48.2645,16.0767875
3011,48.1822,15.8775
3012,48.1822,15.8775
3013,48.1822,15.8775
3021,48.1822,15.8775
3031,48.173,15.9527
3032,48.17484,15.96249
3033,48.1619611,15.9448444
3034,48.1858357,15.9558571
3040,48.2235467,15.9033133
3041,48.2326222,15.9289556
3042,48.2501667,15.8673
3051,48.1517,15.88214
3052,48.1364682,15.8938955
3053,48.1118417,15.8808667
3061,48.1951125,15.844375
3062,48.1970923,15.8241077
3071,48.1783667,15.75781
3072,48.1551437,15.7872188
3073,48.1393308,15.7910308
3074,48.12074,15.76327
3100,48.1983167,15.62235
3104,48.1677667,15.6404167
3105,48.24745,15.6731
3107,48.213675,15.629025
