name,latitude,longitude,population
Rüti,47.25603,8.85552,8000
Ruswil,47.08425,8.12645,8000
Rümlang,47.45041,8.52993,8000
Rotkreuz,47.14283,8.4314,8000
Rothrist,47.30508,7.89196,8000
Rorschach,47.478,9.4903,8000
Romont,46.69652,6.91898,8000
Romanshorn,47.56586,9.37869,8000
Richterswil,47.20622,8.69686,8000
Rheinfelden,47.55437,7.79403,8000
Regensdorf,47.4341,8.46874,8000
Prilly,46.53698,6.60456,8000
Pregassona,46.02021,8.97429,8000
Pratteln,47.52071,7.69356,8000
Porrentruy,47.41728,7.07573,8000
Plan-les-Ouates,46.16789,6.11664,8000
Pfäffikon,47.36453,8.79202,8000
Peseux,46.98704,6.88903,8000
Payerne,46.82192,6.93817,8000
Orbe,46.72504,6.53069,8000
Ollon,46.29524,6.99314,8000
Oftringen,47.31382,7.92533,8000
Oberwil,47.51407,7.55786,8000
Oberuzwil,47.43076,9.12724,8000
Urdorf,47.38507,8.42581,8000
Obersiggenthal,47.4875,8.29652,8000
Oberriet,47.32088,9.56808,8000
Oberentfelden,47.35639,8.04594,8000
Oberengstringen,47.40841,8.46515,8000
Nidau,47.12545,7.24033,8000
Neuhausen,47.68579,8.61474,8000
Neuenkirch,47.09989,8.20416,8000
Neuenhof,47.44985,8.32682,8000
Naters,46.32536,7.98912,8000
Murten/Morat,46.92827,7.11715,8000
Muri,47.27428,8.33854,8000
Münsingen,46.87298,7.561,8000
Münchwilen,47.47719,8.99677,8000
Münchenstein,47.51848,7.60966,8000
Münchenbuchsee,47.02175,7.45036,8000
Moutier,47.27818,7.36951,8000
Möhlin,47.55915,7.84329,8000
Minusio,46.17769,8.81473,8000
Menziken,47.23965,8.18996,8000
Mendrisio,45.87019,8.9816,8000
Meilen,47.27232,8.64617,8000
Meggen,47.04691,8.37467,8000
Massagno,46.01257,8.94354,8000
Marly,46.77611,7.16459,8000
Männedorf,47.25686,8.69893,8000
Malters,47.03628,8.18193,8000
Lyss,47.0741,7.30655,8000
Lutry,46.50241,6.68647,8000
Losone,46.16866,8.75928,8000
Liestal,47.48455,7.73446,8000
Lenzburg,47.38853,8.17503,8000
Lengnau,47.18155,7.36814,8000
Le Mont-sur-Lausanne,46.55815,6.63145,8000
Le Locle,47.05619,6.74913,8000
Laufen,47.42193,7.49946,8000
La Tour-de-Peilz,46.45312,6.85856,8000
Langnau,46.93936,7.78738,8000
Landquart,46.95,9.56667,8000
Lachen,47.19224,8.85324,8000
Küttigen,47.41484,8.04979,8000
Küssnacht,47.08557,8.44206,8000
Küsnacht,47.31805,8.58401,8000
Kirchberg,47.41159,9.0402,8000
Kilchberg,47.32438,8.54548,8000
Kerns,46.90121,8.27514,8000
Interlaken,46.68387,7.86638,8000
Ingenbohl,46.9988,8.61529,8000
Igis,46.94531,9.57218,8000
Hünenberg,47.17536,8.42497,8000
Horw,47.01692,8.30956,8000
Hombrechtikon,47.25298,8.77212,8000
Hochdorf,47.16841,8.29179,8000
Hinwil,47.29426,8.84393,8000
Herzogenbuchsee,47.18795,7.7062,8000
Herrliberg,47.29064,8.61464,8000
Hergiswil,46.98429,8.30944,8000
Heimberg,46.79482,7.60433,8000
Gstaad,46.47215,7.28685,8000
Greifensee,47.36717,8.68115,8000
Gränichen,47.3593,8.10243,8000
Le Grand-Saconnex,46.23188,6.12091,8000
Grabs,47.18248,9.44395,8000
Goldau,47.04761,8.54616,8000
Goldach,47.47401,9.46711,8000
Glarus,47.04057,9.06804,8000
Gland,46.42082,6.2701,8000
Giubiasco,46.17246,9.00793,8000
Gelterkinden,47.46497,7.85174,8000
Fully,46.13851,7.11468,8000
Frutigen,46.58723,7.64945,8000
Frenkendorf,47.50686,7.71648,8000
Freienbach,47.20534,8.75842,8000
Flawil,47.41301,9.18324,8000
Estavayer-le-Lac,46.84876,6.8465,8000
Eschenbach,47.23981,8.92156,8000
Epalinges,46.54896,6.66831,8000
Embrach,47.50561,8.59406,8000
Egg,47.29976,8.69032,8000
Effretikon,47.42575,8.69094,8000
Ecublens,46.60735,6.80895,8000
Echallens,46.6413,6.63317,8000
Ebikon,47.07937,8.34041,8000
Düdingen,46.84916,7.1915,8000
Dornach,47.48038,7.61644,8000
Domat,46.83483,9.45075,8000
Dietlikon / Dietlikon (Dorf),47.41827,8.6188,8000
Diepoldsau,47.386,9.65558,8000
Derendingen,47.1985,7.58844,8000
Delémont,47.36493,7.34453,8000
Crissier,46.54586,6.57567,8000
Conthey,46.2237,7.30283,8000
Collombey,46.27385,6.94789,8000
Chiasso,45.83203,9.03119,8000
Chêne-Bourg,46.19534,6.19406,8000
Chavannes,46.53005,6.57068,8000
Châtel-Saint-Denis,46.52691,6.90083,8000
Bussigny,46.5511,6.55597,8000
Buochs,46.97398,8.42279,8000
Buchs,47.39358,8.08233,8000
Buchrain,47.09625,8.34729,8000
Brugg,47.48096,8.20869,8000
Bremgarten,47.35109,8.34214,8000
Bottmingen,47.52343,7.57211,8000
Bolligen,46.9751,7.49697,8000
Blonay,46.46778,6.89615,8000
Birsfelden,47.5529,7.62322,8000
Binningen,47.54021,7.56932,8000
Biberist,47.18009,7.56246,8000
Biasca,46.35972,8.96965,8000
Bex,46.24965,7.0098,8000
Bernex,46.1765,6.07544,8000
Belp,46.89129,7.49825,8000
Bassersdorf,47.44342,8.62851,8000
Basse-Nendaz,46.18993,7.31209,8000
Balsthal,47.31613,7.69318,8000
Bagnes,46.08333,7.21667,8000
Bad Ragaz,47.00601,9.50266,8000
Au,47.43093,9.63448,8000
Ascona,46.15451,8.77327,8000
Arlesheim,47.49412,7.61979,8000
Appenzell,47.33103,9.40996,8000
Amriswil,47.54699,9.29586,8000
Altstätten,47.37766,9.54746,8000
Altendorf,47.18994,8.83823,8000
Altdorf,46.88042,8.64441,8000
Alpnach,46.94227,8.2718,8000
Aigle,46.3181,6.96457,8000
Affoltern am Albis,47.27743,8.45128,8000
Aesch,47.47104,7.5973,8000
Adligenswil,47.06521,8.36124,8000
Aarburg,47.32067,7.89986,8000
Aadorf,47.49204,8.90099,8000
Chêne-Bougeries,46.19843,6.18642,8000
Thônex,46.18815,6.19904,8000
Wallisellen / Wallisellen-Ost,47.41446,8.59727,8000
Horgen / Horgen (Dorfkern),47.25604,8.60159,8000
Thalwil / Dorfkern,47.29047,8.56633,8000
Pfäffikon / Pfäffikon (Dorfkern),47.36943,8.78309,8000
Uster / Kirch-Uster,47.34579,8.71839,8000
Uster / Ober-Uster,47.34874,8.73319,8000
Oberwinterthur (Kreis 2) / Talacker,47.50596,8.7515,8000
Oberwinterthur (Kreis 2) / Guggenbühl,47.51339,8.75998,8000
Mattenbach (Kreis 7) / Deutweg,47.49419,8.73948,8000
Zürich (Kreis 12) / Saatlen,47.41127,8.5648,8000
Zürich (Kreis 12) / Schwamendingen-Mitte,47.4063,8.57242,8000
Zürich (Kreis 12) / Hirzenbach,47.40187,8.58633,8000
Zürich (Kreis 2) / Enge,47.3605,8.53127,8000
Zürich (Kreis 3) / Friesenberg,47.36372,8.50417,8000
Zürich (Kreis 4) / Langstrasse,47.37767,8.52854,8000
Zürich (Kreis 4) / Hard,47.38311,8.50942,8000
Zürich (Kreis 5) / Gewerbeschule,47.38481,8.53011,8000
Zürich (Kreis 6) / Oberstrass,47.38917,8.5504,8000
Zürich (Kreis 7) / Fluntern,47.38013,8.56133,8000
Zürich (Kreis 7) / Hottingen,47.37011,8.56306,8000
Zürich (Kreis 7) / Hirslanden,47.3624,8.56755,8000
Zürich (Kreis 8) / Mühlebach,47.35727,8.55744,8000
Hegnau,47.39227,8.66988,8000
Zürich (Kreis 5),47.38767,8.52152,8000
Wülflingen (Kreis 6),47.51036,8.68333,8000
Zürich (Kreis 1),47.37055,8.54177,8000
Mattenbach (Kreis 7),47.48705,8.74681,8000
Crans-Montana,46.31316,7.47914,8000
Thal,47.46677,9.56643,8000
Langnau am Albis,47.28885,8.5411,8000
Les Avanchets,46.22168,6.10814,8000
Blécherette,46.53932,6.62227,8000
